Event Name,Time,Distinct ID,City,Country,Operating System,Duration
splash_to_Dashboard,1683570452.315,6401eed49f741c4433c564ef::3BFBAC82-0C76-4445-B300-F8EE8E28626A,Gurgaon,IN,iOS,3.681
splash_to_Dashboard,1683568468.338,6457681a11c6e3f4fc58e952::D9E704F1-E5F9-475D-927B-DE345A3AEA43,Delhi,IN,iOS,2.777
splash_to_Dashboard,1683558225.475,6401eed49f741c4433c564ef::3BFBAC82-0C76-4445-B300-F8EE8E28626A,New Delhi,IN,iOS,3.518
splash_to_Dashboard,1683557223.264,643503d24c416cbe9f5e05db::EF636E39-BBAE-4567-B3B7-E3068117712B,Delhi,IN,iOS,5.051
splash_to_Dashboard,1683551030.551,642ff52a4c416cbe9fbac7d3::AF2940F3-2774-4D42-862E-5E1224F43759,Delhi,IN,iOS,23.328
splash_to_Dashboard,1683550886.664,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,80.271
splash_to_Dashboard,1683550260.853,644671a510a89e1ddbf673d1::5783BAD0-00B8-4DE1-B7A9-8AAE218E106D,New Delhi,IN,iOS,2619.638
splash_to_Dashboard,1683546484.341,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,21.821
splash_to_Dashboard,1683542068.575,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,4.002
splash_to_Dashboard,1683541806.463,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,4.576
splash_to_Dashboard,1683536811.256,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,4.552
splash_to_Dashboard,1683536085.392,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,5.597
