Event Name,Time,Distinct ID,City,Country,Operating System,Session Length
App Session,1676806989.635,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Karnal,IN,Android,470.6
App Session,1676732191.75,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,273.8
App Session,1676465876.696,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,261.1
App Session,1677245183.457,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,237.8
App Session,1677165475.274,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,211.3
App Session,1677213028.686,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,181.8
App Session,1676731751.859,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,180.8
App Session,1677261714.643,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,176.1
App Session,1676737675.364,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,172
App Session,1676863516.875,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,168.6
App Session,1677166757.675,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,163.8
App Session,1676950879.078,63f33e134bb1fe648be041ab::02080c00-fd42-42f2-a9e7-8ac36198db6e,Delhi,IN,Android,162
App Session,1677467512.691,63ecbb4281407145daabec2a::a0559d87-bf51-46e4-b05f-73206c3d34e2,Delhi,IN,Android,161.1
App Session,1676731915.017,63f0c7454bb1fe648be04128::e18cb3cc-56b3-41c8-a0a2-d04c29217606,Delhi,IN,Android,159.8
App Session,1677133806.17,63f5fbea4bb1fe648be04254::d2dfc7d3-499b-445d-a442-71df32df1681,Delhi,IN,Android,155.5
App Session,1677257987.167,63f75c1b0cef5dc71dec5f5a::9607ae12-7748-4e95-a028-d89832bb7413,Delhi,IN,Android,148.3
