$distinct_id,$android_os,$ios_app_release,UID
"62ea6a27bd000347e5671ba8::ED9DFADA-280C-41DF-AF46-B17AED33B4BF","undefined","3.0.0","62ea6a27bd000347e5671ba8"
"62c70c594785e51926d58cb3::c1fe13e8-e362-4195-8f92-29e82b47719c","Android","undefined","62c70c594785e51926d58cb3"
"63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c","Android","undefined","63d0e9e716b08dc72b80bbb9"
"62c95ade4785e51925b753ce::653A0CE1-D586-4DA7-B637-B62B33BCEB28","undefined","0.0.0","62c95ade4785e51925b753ce"
"6311b20374f91004a4241157::ED9DFADA-280C-41DF-AF46-B17AED33B4BF","undefined","3.0.0","6311b20374f91004a4241157"
"63d1934f16b08dc72b98a3c5::b6eaca46-e980-4554-bb78-240269c76dcf","Android","undefined","63d1934f16b08dc72b98a3c5"
"62ea6a27bd000347e5671ba8::9C2A94FC-E594-4BCC-9A8E-C18B33F6FB47","undefined","3.0.0","62ea6a27bd000347e5671ba8"
"631efe8ce5d9ff7fd66f6a31::b6eaca46-e980-4554-bb78-240269c76dcf","Android","undefined","631efe8ce5d9ff7fd66f6a31"
"63da4420130e90b69b5b8443::eed105ab-9ef4-434b-9c5b-8fc753cc8791","Android","undefined","63da4420130e90b69b5b8443"
"679f3d8a-631b-489f-949c-c4df7c29fe79","Android","undefined",""
"62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf","Android","undefined","62c70c594785e51926d58cb3"
"63d785d2130e90b69bfc45a3::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee","Android","undefined","63d785d2130e90b69bfc45a3"
"62ea641cbd000347dbf193b2::D6BDB8D1-C2DA-438E-891D-EF4BA0E079E0","undefined","3.0.0","62ea641cbd000347dbf193b2"
"62c4db58bd00032999de75c6::ED9DFADA-280C-41DF-AF46-B17AED33B4BF","undefined","0.0.0","62c4db58bd00032999de75c6"
"63cc05c416b08dc72bd8806b::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee","Android","undefined","63cc05c416b08dc72bd8806b"
"E18CBC1F-8545-44A3-BEFD-A53557B7E663","undefined","3.0.0","undefined"
"08ba0fb8-bd3b-4c03-86b8-c1cec90bd5f5","Android","undefined","undefined"
"63c90e2516b08dc72b71069b::D6BDB8D1-C2DA-438E-891D-EF4BA0E079E0","undefined","3.0.0","63c90e2516b08dc72b71069b"
"62fcebdafffb03e8836557da::eb11cc49-791b-4b82-b522-d4cccdc0abe3","Android","undefined","62fcebdafffb03e8836557da"
"63bff4071a03b710b48ef305::B31EFB45-B96C-4D5F-A605-A7EDCEC657D0","undefined","0.0.0","63bff4071a03b710b48ef305"
"63ca75c716b08dc72ba182ae::E18CBC1F-8545-44A3-BEFD-A53557B7E663","undefined","3.0.0","63ca75c716b08dc72ba182ae"
"63109ab074f91004a1949a9e::9C2A94FC-E594-4BCC-9A8E-C18B33F6FB47","undefined","3.0.0","63109ab074f91004a1949a9e"
"63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee","Android","undefined","63d0f9cf16b08dc72b830e3f"
"ED9DFADA-280C-41DF-AF46-B17AED33B4BF","undefined","3.0.0","undefined"
"c682290f-8b80-4867-a030-9f0253fb3a7a","Android","undefined","undefined"
