Event Name,Time,Distinct ID,City,Country,Operating System
App Session,1675851602.742,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675850764.14,62fe4fcf93548010fa488744::65c258a7-27cf-4fef-a4fb-beec4c6da7ed,Delhi,IN,Android
App Session,1675850540.583,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675850490.739,628355a818c983214033e74c::6bb373f0-dc39-4dc2-892c-bc774ffc0543,Delhi,IN,Android
App Session,1675849679.947,62fe4fcf93548010fa488744::65c258a7-27cf-4fef-a4fb-beec4c6da7ed,Delhi,IN,Android
App Session,1675849300.027,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675848944.319,63b68e6ebaa90c10ac94ecc7::ab3d711b-c588-4482-b08f-eca788f617c4,Delhi,IN,Android
App Session,1675848699.57,63441913bb306f10b646cec6::3911add2-f981-4353-81b8-1da3d70a4e9c,Delhi,IN,Android
App Session,1675848538.183,632b2d6ae5d9ff7a286f3752::2b89dc9f-25d8-4381-bcf3-30b87740bf44,Delhi,IN,Android
App Session,1675848284.218,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675848181.545,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675848093.577,62947fa818c98374ff6827d3::612bed37-5dae-4937-9e3c-ed2310a4d1f8,Ahmedabad,IN,Android
App Session,1675848036.892,63341870b348150e4e3c3549::4afb5f76-1784-4955-941d-5a306cc911e1,Dehradun,IN,Android
App Session,1675847187.188,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675846126.306,6294a84d18c98369640649fe::6c1e91df-217e-4fbf-9145-45ecf36ad9a1,Delhi,IN,Android
App Session,1675846117.966,637f3a1e54246f10ad1c36b2::E5A869C4-1D5F-4A00-B273-05853099AE01,Delhi,IN,iOS
App Session,1675846041.948,6294a84d18c98369640649fe::6c1e91df-217e-4fbf-9145-45ecf36ad9a1,Delhi,IN,Android
App Session,1675845845.666,62f7923974f91010dbf2de1f::c01218f9-2551-4946-b216-a5bf0d09a439,Delhi,IN,Android
App Session,1675845282.368,633d4e8ab348155e5e196390::a5a30b34-c64e-40ab-847d-3ffcbf51afe9,Delhi,IN,Android
App Session,1675844210.852,634544d18af73a10af5632c7::1a27ea39-3af8-4623-937b-827ef794a979,Delhi,IN,Android
App Session,1675843583.825,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675842785.203,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675842614.5,63451a538af73a10b050b7d9::f22dc8cf-24ca-4fc0-aeec-070aa2056819,Delhi,IN,Android
App Session,1675842592.708,63451a538af73a10b050b7d9::f22dc8cf-24ca-4fc0-aeec-070aa2056819,Delhi,IN,Android
App Session,1675842033.074,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675841992.802,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675841974.55,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675841945.535,62fcebdafffb03e8836557da::6FD4FBB9-9344-40FC-9087-E8357D07FA97,Delhi,IN,iOS
App Session,1675841936.924,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675841460.273,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675841007.672,62c95d9f4785e519225b4283::99416f8f-c2ee-4c27-983e-167c1293c54e,Delhi,IN,Android
App Session,1675840996.369,62c95d9f4785e519225b4283::99416f8f-c2ee-4c27-983e-167c1293c54e,Delhi,IN,Android
App Session,1675840702.528,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675840612.501,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675840559.31,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675840343.709,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675840247.68,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839934.192,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839653.196,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839620.188,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839588.394,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839553.464,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
App Session,1675839347.696,62ebaad24785e537455126b1::87791BB2-18CF-404D-A793-E0C7ED09F7E4,Delhi,IN,iOS
App Session,1675839260.15,634ff2908af73a6103cf48d3::E1C1E4CB-C14E-4ECD-8EFF-5579DD382DFD,Delhi,IN,iOS
App Session,1675839255.813,634403098af73a10b366f5b9::93088877-c375-429d-88cc-a14a20c32839,Delhi,IN,Android
