Event Name,Time,Distinct ID,City,Country,Operating System,Duration
Dashboard,1674805422.618,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,50.53200006484985
Dashboard,1674805272.3,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,8.908999919891357
Dashboard,1674805205.352,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,0.6640000343322754
Dashboard,1674805164.839,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,18.08599996566772
Dashboard,1674805096.925,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,30.13600015640259
Dashboard,1674804969.554,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,26.33399987220764
Dashboard,1674804909.009,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,1.165999889373779
Dashboard,1674804644.514,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,New Delhi,IN,Android,3.917999982833862
Dashboard,1674745345.626,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,206.1180000305176
Dashboard,1674745183.778,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,4.973999977111816
Dashboard,1674745183.777,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,62.36400008201599
Dashboard,1674745001.409,63cc05c416b08dc72bd8806b::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,1.905999898910522
Dashboard,1674744898.002,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,41.00099992752075
Dashboard,1674744771.873,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,131.6900000572205
Dashboard,1674744628.272,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,4.414999961853027
Dashboard,1674744401.424,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,57.1340000629425
Dashboard,1674744336.353,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,6.462000131607056
Dashboard,1674743939.37,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,3.039999961853027
Dashboard,1674743849.886,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,5.118000030517578
Dashboard,1674743806.259,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,58.74499988555908
Dashboard,1674743764.93,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,1.675000190734863
Dashboard,1674743678.516,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,3.315000057220459
Dashboard,1674743678.516,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,1.549000024795532
Dashboard,1674743625.46,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,103.5989999771118
Dashboard,1674743550.985,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,1.45799994468689
Dashboard,1674743550.984,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,15.01100015640259
Dashboard,1674743493.839,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,8.95900011062622
Dashboard,1674743489.588,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,15.25099992752075
Dashboard,1674743489.587,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,15.50600004196167
Dashboard,1674743489.586,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,2.230999946594238
Dashboard,1674743424.8,62c70c594785e51926d58cb3::b6eaca46-e980-4554-bb78-240269c76dcf,Delhi,IN,Android,51.03400015830994
Dashboard,1674659324.655,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,1.984999895095825
Dashboard,1674643150.023,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,3.937999963760376
Dashboard,1674643143.533,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,7.858000040054321
Dashboard,1674643130.537,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,2.636999845504761
Dashboard,1674643117.749,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,9.32200002670288
Dashboard,1674643103.667,63d0e9e716b08dc72b80bbb9::80871537-8784-44c3-b26d-c9948f485d6c,Delhi,IN,Android,2.105999946594238
Dashboard,1674641823.522,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,69.74100017547607
Dashboard,1674641574.285,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,3.412000179290771
Dashboard,1674641558.86,63cc05c416b08dc72bd8806b::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,16.40999984741211
Dashboard,1674641257.765,63d0e9e716b08dc72b80bbb9::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,4.601999998092651
Dashboard,1674641240.541,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,3.739999771118164
Dashboard,1674641206.374,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,4.689000129699707
Dashboard,1674641166.905,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,8.369999885559082
Dashboard,1674641149.164,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,3.868000030517578
Dashboard,1674641114.707,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,56.29699993133545
Dashboard,1674641044.348,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,164.2510001659393
Dashboard,1674640879.387,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,100.4960000514984
Dashboard,1674640771.345,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,3.717000007629395
Dashboard,1674640766.38,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,6.021000146865845
Dashboard,1674640641.864,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,New Delhi,IN,Android,25.38800001144409
Dashboard,1674640608.982,63d0f9cf16b08dc72b830e3f::529e620b-4ccd-4945-a2a1-6e15b7f6c2ee,Delhi,IN,Android,66.79700016975403
