Formula,OS,Date,"Oct 8 2022, 12:00AM - Apr 6 2023, 12:28PM"
Avg,Android,"Mar 8, 2023",11.4
Avg,Android,"Mar 9, 2023",22.9
Avg,Android,"Nov 1, 2022",103.67999999999999
Avg,Android,"Nov 10, 2022",448.2142857142857
Avg,Android,"Nov 11, 2022",207.41666666666666
Avg,Android,"Nov 12, 2022",143.43333333333334
Avg,Android,"Nov 13, 2022",206.91428571428574
Avg,Android,"Nov 14, 2022",110.67142857142858
Avg,Android,"Nov 15, 2022",277.4625
Avg,Android,"Nov 16, 2022",170.54999999999998
Avg,Android,"Nov 17, 2022",132.08333333333334
Avg,Android,"Nov 18, 2022",152.56666666666666
Avg,Android,"Nov 19, 2022",292.0111111111111
Avg,Android,"Nov 2, 2022",82.22
Avg,Android,"Nov 20, 2022",131.87142857142857
Avg,Android,"Nov 21, 2022",89.57142857142857
Avg,Android,"Nov 22, 2022",325.825
Avg,Android,"Nov 23, 2022",202.70000000000002
Avg,Android,"Nov 24, 2022",253.88333333333333
Avg,Android,"Nov 25, 2022",169.86666666666667
Avg,Android,"Nov 26, 2022",56.0
Avg,Android,"Nov 27, 2022",191.975
Avg,Android,"Nov 28, 2022",499.79090909090905
Avg,Android,"Nov 29, 2022",271.3333333333333
Avg,Android,"Nov 3, 2022",216.9333333333333
Avg,Android,"Nov 30, 2022",188.86666666666667
Avg,Android,"Nov 4, 2022",217.84285714285716
Avg,Android,"Nov 5, 2022",176.3
Avg,Android,"Nov 6, 2022",36.733333333333334
Avg,Android,"Nov 7, 2022",104.35999999999999
Avg,Android,"Nov 8, 2022",79.875
Avg,Android,"Nov 9, 2022",337.75714285714287
Avg,Android,"Oct 10, 2022",37.3
Avg,Android,"Oct 11, 2022",196.85
Avg,Android,"Oct 13, 2022",387.0571428571429
Avg,Android,"Oct 14, 2022",177.29999999999998
Avg,Android,"Oct 15, 2022",75.0
Avg,Android,"Oct 16, 2022",48.9
Avg,Android,"Oct 17, 2022",196.1
Avg,Android,"Oct 18, 2022",262.73333333333335
Avg,Android,"Oct 19, 2022",422.675
Avg,Android,"Oct 20, 2022",582.1142857142858
Avg,Android,"Oct 21, 2022",141.85
Avg,Android,"Oct 22, 2022",130.73333333333332
Avg,Android,"Oct 23, 2022",72.2
Avg,Android,"Oct 24, 2022",356.95
Avg,Android,"Oct 25, 2022",178.83333333333334
Avg,Android,"Oct 26, 2022",427.51666666666665
Avg,Android,"Oct 27, 2022",384.2
Avg,Android,"Oct 28, 2022",474.325
Avg,Android,"Oct 29, 2022",397.15999999999997
Avg,Android,"Oct 30, 2022",176.35
Avg,Android,"Oct 31, 2022",281.175
Avg,Android,"Oct 8, 2022",226.1
Avg,Android,"Oct 9, 2022",13.9
Avg,iOS,"Dec 1, 2022",668.2
Avg,iOS,"Dec 10, 2022",29.2
Avg,iOS,"Dec 11, 2022",15.2
Avg,iOS,"Dec 13, 2022",117.1
Avg,iOS,"Dec 14, 2022",124.7
Avg,iOS,"Dec 15, 2022",22.3
Avg,iOS,"Dec 16, 2022",155.3
Avg,iOS,"Dec 17, 2022",96.6
Avg,iOS,"Dec 19, 2022",635.4
Avg,iOS,"Dec 2, 2022",829.6666666666666
Avg,iOS,"Dec 20, 2022",378.6
Avg,iOS,"Dec 21, 2022",20.6
Avg,iOS,"Dec 22, 2022",80.0
Avg,iOS,"Dec 24, 2022",15.0
Avg,iOS,"Dec 26, 2022",10.3
Avg,iOS,"Dec 27, 2022",105.5
Avg,iOS,"Dec 28, 2022",213.125
Avg,iOS,"Dec 29, 2022",258.95
Avg,iOS,"Dec 3, 2022",1702.7
Avg,iOS,"Dec 30, 2022",173.1
Avg,iOS,"Dec 4, 2022",26.0
Avg,iOS,"Dec 5, 2022",49.85
Avg,iOS,"Dec 7, 2022",21.0
Avg,iOS,"Dec 8, 2022",31.5
Avg,iOS,"Dec 9, 2022",30.3
Avg,iOS,"Feb 1, 2023",192.5666666666667
Avg,iOS,"Feb 10, 2023",60.26666666666667
Avg,iOS,"Feb 11, 2023",43.85
Avg,iOS,"Feb 12, 2023",204.5
Avg,iOS,"Feb 13, 2023",99.55
Avg,iOS,"Feb 14, 2023",48.4
Avg,iOS,"Feb 15, 2023",629.6
Avg,iOS,"Feb 16, 2023",867.05
Avg,iOS,"Feb 17, 2023",105.7
Avg,iOS,"Feb 2, 2023",143.45
Avg,iOS,"Feb 20, 2023",315.6
Avg,iOS,"Feb 21, 2023",291.75
Avg,iOS,"Feb 3, 2023",129.475
Avg,iOS,"Feb 4, 2023",82.325
Avg,iOS,"Feb 5, 2023",83.65
Avg,iOS,"Feb 6, 2023",25.8
Avg,iOS,"Feb 7, 2023",37.85
Avg,iOS,"Feb 8, 2023",18.8
Avg,iOS,"Feb 9, 2023",211.1
Avg,iOS,"Jan 1, 2023",16.0
Avg,iOS,"Jan 10, 2023",44.6
Avg,iOS,"Jan 12, 2023",65.35
Avg,iOS,"Jan 14, 2023",173.05
Avg,iOS,"Jan 15, 2023",241.2
Avg,iOS,"Jan 16, 2023",16.2
Avg,iOS,"Jan 17, 2023",136.6
Avg,iOS,"Jan 19, 2023",29.0
Avg,iOS,"Jan 2, 2023",31.05
Avg,iOS,"Jan 20, 2023",103.2
Avg,iOS,"Jan 21, 2023",10.5
Avg,iOS,"Jan 22, 2023",82.05
Avg,iOS,"Jan 23, 2023",77.75
Avg,iOS,"Jan 24, 2023",70.8
Avg,iOS,"Jan 25, 2023",74.39999999999999
Avg,iOS,"Jan 26, 2023",165.93333333333334
Avg,iOS,"Jan 27, 2023",116.4
Avg,iOS,"Jan 28, 2023",32.06666666666667
Avg,iOS,"Jan 29, 2023",88.7
Avg,iOS,"Jan 30, 2023",119.66666666666667
Avg,iOS,"Jan 31, 2023",45.43333333333334
Avg,iOS,"Jan 5, 2023",73.8
Avg,iOS,"Jan 7, 2023",279.6
Avg,iOS,"Jan 9, 2023",24.1
Avg,iOS,"Mar 23, 2023",172.6
Avg,iOS,"Mar 30, 2023",31.4
Avg,iOS,"Mar 4, 2023",609.0
Avg,iOS,"Mar 6, 2023",96.3
Avg,iOS,"Nov 1, 2022",188.775
Avg,iOS,"Nov 10, 2022",1075.5333333333333
Avg,iOS,"Nov 11, 2022",524.7333333333333
Avg,iOS,"Nov 12, 2022",84.9
Avg,iOS,"Nov 13, 2022",28.7
Avg,iOS,"Nov 14, 2022",210.0
Avg,iOS,"Nov 16, 2022",249.5
Avg,iOS,"Nov 17, 2022",287.0
Avg,iOS,"Nov 18, 2022",209.675
Avg,iOS,"Nov 19, 2022",140.0
Avg,iOS,"Nov 2, 2022",159.3
Avg,iOS,"Nov 20, 2022",86.45
Avg,iOS,"Nov 21, 2022",63.45
Avg,iOS,"Nov 22, 2022",302.05
Avg,iOS,"Nov 23, 2022",267.375
Avg,iOS,"Nov 24, 2022",200.3
Avg,iOS,"Nov 27, 2022",216.76666666666665
Avg,iOS,"Nov 28, 2022",363.3
Avg,iOS,"Nov 29, 2022",229.45
Avg,iOS,"Nov 3, 2022",286.575
Avg,iOS,"Nov 30, 2022",60.5
Avg,iOS,"Nov 4, 2022",100.7
Avg,iOS,"Nov 5, 2022",34.75
Avg,iOS,"Nov 6, 2022",201.0
Avg,iOS,"Nov 7, 2022",44.8
Avg,iOS,"Nov 8, 2022",30.9
Avg,iOS,"Nov 9, 2022",389.56666666666666
Avg,iOS,"Oct 10, 2022",65.1
Avg,iOS,"Oct 11, 2022",594.3199999999999
Avg,iOS,"Oct 12, 2022",186.15
Avg,iOS,"Oct 13, 2022",255.55
Avg,iOS,"Oct 14, 2022",89.775
Avg,iOS,"Oct 15, 2022",62.2
Avg,iOS,"Oct 16, 2022",90.16666666666667
Avg,iOS,"Oct 17, 2022",95.3
Avg,iOS,"Oct 18, 2022",83.3
Avg,iOS,"Oct 19, 2022",358.575
Avg,iOS,"Oct 20, 2022",297.82
Avg,iOS,"Oct 21, 2022",561.95
Avg,iOS,"Oct 22, 2022",75.45
Avg,iOS,"Oct 23, 2022",168.26666666666668
Avg,iOS,"Oct 24, 2022",50.2
Avg,iOS,"Oct 25, 2022",59.03333333333333
Avg,iOS,"Oct 26, 2022",101.475
Avg,iOS,"Oct 27, 2022",152.20000000000002
Avg,iOS,"Oct 28, 2022",43.85
Avg,iOS,"Oct 29, 2022",223.025
Avg,iOS,"Oct 30, 2022",167.26666666666668
Avg,iOS,"Oct 31, 2022",315.09999999999997
Avg,iOS,"Oct 8, 2022",145.13333333333333
Avg,iOS,"Oct 9, 2022",32.05
