Date,Event,OS,"Oct 8 2022, 12:00AM - Apr 6 2023, 3:50PM"
2023-03-19,App Session - DAU,iPadOS,0
2023-03-19,App Session - DAU,macOS,0
2023-03-20,App Session - DAU,Android,2
2023-03-20,App Session - DAU,iOS,0
2023-03-20,App Session - DAU,iPadOS,0
2023-03-20,App Session - DAU,macOS,0
2023-03-21,App Session - DAU,Android,1
2023-03-21,App Session - DAU,iOS,0
2023-03-21,App Session - DAU,iPadOS,0
2023-03-21,App Session - DAU,macOS,0
2023-03-22,App Session - DAU,Android,3
2023-03-22,App Session - DAU,iOS,0
2023-03-22,App Session - DAU,iPadOS,0
2023-03-22,App Session - DAU,macOS,0
2023-03-23,App Session - DAU,Android,1
2023-03-23,App Session - DAU,iOS,1
2023-03-23,App Session - DAU,iPadOS,0
2023-03-23,App Session - DAU,macOS,0
2023-03-24,App Session - DAU,Android,1
2023-03-24,App Session - DAU,iOS,0
2023-03-24,App Session - DAU,iPadOS,0
2023-03-24,App Session - DAU,macOS,0
2023-03-25,App Session - DAU,Android,2
2023-03-25,App Session - DAU,iOS,0
2023-03-25,App Session - DAU,iPadOS,0
2023-03-25,App Session - DAU,macOS,0
2023-03-26,App Session - DAU,Android,1
2023-03-26,App Session - DAU,iOS,0
2023-03-26,App Session - DAU,iPadOS,0
2023-03-26,App Session - DAU,macOS,0
2023-03-27,App Session - DAU,Android,2
2023-03-27,App Session - DAU,iOS,0
2023-03-27,App Session - DAU,iPadOS,0
2023-03-27,App Session - DAU,macOS,0
2023-03-28,App Session - DAU,Android,2
2023-03-28,App Session - DAU,iOS,0
2023-03-28,App Session - DAU,iPadOS,0
2023-03-28,App Session - DAU,macOS,0
2023-03-29,App Session - DAU,Android,3
2023-03-29,App Session - DAU,iOS,0
2023-03-29,App Session - DAU,iPadOS,0
2023-03-29,App Session - DAU,macOS,0
2023-03-30,App Session - DAU,Android,1
2023-03-30,App Session - DAU,iOS,1
2023-03-30,App Session - DAU,iPadOS,0
2023-03-30,App Session - DAU,macOS,0
2023-03-31,App Session - DAU,Android,0
2023-03-31,App Session - DAU,iOS,0
2023-03-31,App Session - DAU,iPadOS,0
2023-03-31,App Session - DAU,macOS,0
2023-04-01,App Session - DAU,Android,0
2023-04-01,App Session - DAU,iOS,0
2023-04-01,App Session - DAU,iPadOS,0
2023-04-01,App Session - DAU,macOS,0
2023-04-02,App Session - DAU,Android,0
2023-04-02,App Session - DAU,iOS,0
2023-04-02,App Session - DAU,iPadOS,0
2023-04-02,App Session - DAU,macOS,0
2023-04-03,App Session - DAU,Android,2
2023-04-03,App Session - DAU,iOS,0
2023-04-03,App Session - DAU,iPadOS,0
2023-04-03,App Session - DAU,macOS,0
2023-04-04,App Session - DAU,Android,3
2023-04-04,App Session - DAU,iOS,0
2023-04-04,App Session - DAU,iPadOS,0
2023-04-04,App Session - DAU,macOS,0
2023-04-05,App Session - DAU,Android,2
2023-04-05,App Session - DAU,iOS,0
2023-04-05,App Session - DAU,iPadOS,0
2023-04-05,App Session - DAU,macOS,0
2023-04-06,App Session - DAU,Android,1
2023-04-06,App Session - DAU,iOS,0
2023-04-06,App Session - DAU,iPadOS,0
2023-04-06,App Session - DAU,macOS,0
