Date,Event,OS,"Oct 8 2022, 12:00AM - Apr 6 2023, 3:50PM"
2022-11-09,App Session - DAU,iOS,3
2022-11-09,App Session - DAU,iPadOS,0
2022-11-09,App Session - DAU,macOS,0
2022-11-10,App Session - DAU,Android,7
2022-11-10,App Session - DAU,iOS,3
2022-11-10,App Session - DAU,iPadOS,0
2022-11-10,App Session - DAU,macOS,0
2022-11-11,App Session - DAU,Android,6
2022-11-11,App Session - DAU,iOS,3
2022-11-11,App Session - DAU,iPadOS,0
2022-11-11,App Session - DAU,macOS,0
2022-11-12,App Session - DAU,Android,6
2022-11-12,App Session - DAU,iOS,1
2022-11-12,App Session - DAU,iPadOS,0
2022-11-12,App Session - DAU,macOS,0
2022-11-13,App Session - DAU,Android,7
2022-11-13,App Session - DAU,iOS,1
2022-11-13,App Session - DAU,iPadOS,0
2022-11-13,App Session - DAU,macOS,0
2022-11-14,App Session - DAU,Android,7
2022-11-14,App Session - DAU,iOS,1
2022-11-14,App Session - DAU,iPadOS,0
2022-11-14,App Session - DAU,macOS,0
2022-11-15,App Session - DAU,Android,8
2022-11-15,App Session - DAU,iOS,0
2022-11-15,App Session - DAU,iPadOS,0
2022-11-15,App Session - DAU,macOS,0
2022-11-16,App Session - DAU,Android,6
2022-11-16,App Session - DAU,iOS,2
2022-11-16,App Session - DAU,iPadOS,0
2022-11-16,App Session - DAU,macOS,0
2022-11-17,App Session - DAU,Android,6
2022-11-17,App Session - DAU,iOS,3
2022-11-17,App Session - DAU,iPadOS,0
2022-11-17,App Session - DAU,macOS,0
2022-11-18,App Session - DAU,Android,6
2022-11-18,App Session - DAU,iOS,4
2022-11-18,App Session - DAU,iPadOS,0
2022-11-18,App Session - DAU,macOS,0
2022-11-19,App Session - DAU,Android,9
2022-11-19,App Session - DAU,iOS,1
2022-11-19,App Session - DAU,iPadOS,0
2022-11-19,App Session - DAU,macOS,0
2022-11-20,App Session - DAU,Android,7
2022-11-20,App Session - DAU,iOS,2
2022-11-20,App Session - DAU,iPadOS,0
2022-11-20,App Session - DAU,macOS,0
2022-11-21,App Session - DAU,Android,7
2022-11-21,App Session - DAU,iOS,2
2022-11-21,App Session - DAU,iPadOS,0
2022-11-21,App Session - DAU,macOS,0
2022-11-22,App Session - DAU,Android,8
2022-11-22,App Session - DAU,iOS,2
2022-11-22,App Session - DAU,iPadOS,0
2022-11-22,App Session - DAU,macOS,1
2022-11-23,App Session - DAU,Android,7
2022-11-23,App Session - DAU,iOS,4
2022-11-23,App Session - DAU,iPadOS,0
2022-11-23,App Session - DAU,macOS,0
2022-11-24,App Session - DAU,Android,6
2022-11-24,App Session - DAU,iOS,2
2022-11-24,App Session - DAU,iPadOS,0
2022-11-24,App Session - DAU,macOS,1
2022-11-25,App Session - DAU,Android,6
2022-11-25,App Session - DAU,iOS,0
2022-11-25,App Session - DAU,iPadOS,0
2022-11-25,App Session - DAU,macOS,0
2022-11-26,App Session - DAU,Android,2
2022-11-26,App Session - DAU,iOS,0
2022-11-26,App Session - DAU,iPadOS,0
2022-11-26,App Session - DAU,macOS,0
2022-11-27,App Session - DAU,Android,4
2022-11-27,App Session - DAU,iOS,3
2022-11-27,App Session - DAU,iPadOS,0
2022-11-27,App Session - DAU,macOS,0
2022-11-28,App Session - DAU,Android,11
2022-11-28,App Session - DAU,iOS,4
2022-11-28,App Session - DAU,iPadOS,0
2022-11-28,App Session - DAU,macOS,0
2022-11-29,App Session - DAU,Android,9
2022-11-29,App Session - DAU,iOS,2
2022-11-29,App Session - DAU,iPadOS,0
2022-11-29,App Session - DAU,macOS,0
2022-11-30,App Session - DAU,Android,6
2022-11-30,App Session - DAU,iOS,1
2022-11-30,App Session - DAU,iPadOS,0
2022-11-30,App Session - DAU,macOS,0
2022-12-01,App Session - DAU,Android,7
2022-12-01,App Session - DAU,iOS,1
2022-12-01,App Session - DAU,iPadOS,0
2022-12-01,App Session - DAU,macOS,0
2022-12-02,App Session - DAU,Android,8
2022-12-02,App Session - DAU,iOS,3
2022-12-02,App Session - DAU,iPadOS,0
2022-12-02,App Session - DAU,macOS,0
2022-12-03,App Session - DAU,Android,4
2022-12-03,App Session - DAU,iOS,2
2022-12-03,App Session - DAU,iPadOS,0
2022-12-03,App Session - DAU,macOS,0
2022-12-04,App Session - DAU,Android,3
2022-12-04,App Session - DAU,iOS,1
2022-12-04,App Session - DAU,iPadOS,0
2022-12-04,App Session - DAU,macOS,0
2022-12-05,App Session - DAU,Android,4
2022-12-05,App Session - DAU,iOS,2
2022-12-05,App Session - DAU,iPadOS,0
2022-12-05,App Session - DAU,macOS,0
2022-12-06,App Session - DAU,Android,2
2022-12-06,App Session - DAU,iOS,0
2022-12-06,App Session - DAU,iPadOS,0
2022-12-06,App Session - DAU,macOS,0
2022-12-07,App Session - DAU,Android,3
2022-12-07,App Session - DAU,iOS,1
2022-12-07,App Session - DAU,iPadOS,0
2022-12-07,App Session - DAU,macOS,0
2022-12-08,App Session - DAU,Android,4
2022-12-08,App Session - DAU,iOS,2
2022-12-08,App Session - DAU,iPadOS,0
2022-12-08,App Session - DAU,macOS,0
2022-12-09,App Session - DAU,Android,3
2022-12-09,App Session - DAU,iOS,1
2022-12-09,App Session - DAU,iPadOS,0
2022-12-09,App Session - DAU,macOS,0
2022-12-10,App Session - DAU,Android,7
2022-12-10,App Session - DAU,iOS,1
2022-12-10,App Session - DAU,iPadOS,0
2022-12-10,App Session - DAU,macOS,0
2022-12-11,App Session - DAU,Android,3
2022-12-11,App Session - DAU,iOS,1
2022-12-11,App Session - DAU,iPadOS,0
2022-12-11,App Session - DAU,macOS,0
2022-12-12,App Session - DAU,Android,1
2022-12-12,App Session - DAU,iOS,0
2022-12-12,App Session - DAU,iPadOS,0
2022-12-12,App Session - DAU,macOS,0
2022-12-13,App Session - DAU,Android,3
2022-12-13,App Session - DAU,iOS,1
2022-12-13,App Session - DAU,iPadOS,0
2022-12-13,App Session - DAU,macOS,0
2022-12-14,App Session - DAU,Android,6
2022-12-14,App Session - DAU,iOS,1
2022-12-14,App Session - DAU,iPadOS,0
2022-12-14,App Session - DAU,macOS,0
2022-12-15,App Session - DAU,Android,3
2022-12-15,App Session - DAU,iOS,1
2022-12-15,App Session - DAU,iPadOS,0
2022-12-15,App Session - DAU,macOS,0
2022-12-16,App Session - DAU,Android,4
2022-12-16,App Session - DAU,iOS,1
2022-12-16,App Session - DAU,iPadOS,0
2022-12-16,App Session - DAU,macOS,0
2022-12-17,App Session - DAU,Android,3
2022-12-17,App Session - DAU,iOS,1
2022-12-17,App Session - DAU,iPadOS,0
2022-12-17,App Session - DAU,macOS,0
2022-12-18,App Session - DAU,Android,4
2022-12-18,App Session - DAU,iOS,0
2022-12-18,App Session - DAU,iPadOS,0
2022-12-18,App Session - DAU,macOS,0
2022-12-19,App Session - DAU,Android,7
2022-12-19,App Session - DAU,iOS,1
2022-12-19,App Session - DAU,iPadOS,0
2022-12-19,App Session - DAU,macOS,0
2022-12-20,App Session - DAU,Android,6
2022-12-20,App Session - DAU,iOS,1
2022-12-20,App Session - DAU,iPadOS,0
2022-12-20,App Session - DAU,macOS,1
2022-12-21,App Session - DAU,Android,6
2022-12-21,App Session - DAU,iOS,2
2022-12-21,App Session - DAU,iPadOS,0
2022-12-21,App Session - DAU,macOS,0
2022-12-22,App Session - DAU,Android,5
2022-12-22,App Session - DAU,iOS,3
2022-12-22,App Session - DAU,iPadOS,0
2022-12-22,App Session - DAU,macOS,0
2022-12-23,App Session - DAU,Android,3
2022-12-23,App Session - DAU,iOS,0
2022-12-23,App Session - DAU,iPadOS,0
2022-12-23,App Session - DAU,macOS,0
2022-12-24,App Session - DAU,Android,3
2022-12-24,App Session - DAU,iOS,1
2022-12-24,App Session - DAU,iPadOS,0
2022-12-24,App Session - DAU,macOS,0
2022-12-25,App Session - DAU,Android,4
2022-12-25,App Session - DAU,iOS,0
2022-12-25,App Session - DAU,iPadOS,0
2022-12-25,App Session - DAU,macOS,0
2022-12-26,App Session - DAU,Android,5
2022-12-26,App Session - DAU,iOS,1
2022-12-26,App Session - DAU,iPadOS,0
2022-12-26,App Session - DAU,macOS,0
2022-12-27,App Session - DAU,Android,3
2022-12-27,App Session - DAU,iOS,2
2022-12-27,App Session - DAU,iPadOS,0
2022-12-27,App Session - DAU,macOS,0
2022-12-28,App Session - DAU,Android,3
2022-12-28,App Session - DAU,iOS,4
2022-12-28,App Session - DAU,iPadOS,0
2022-12-28,App Session - DAU,macOS,0
2022-12-29,App Session - DAU,Android,3
2022-12-29,App Session - DAU,iOS,2
2022-12-29,App Session - DAU,iPadOS,0
2022-12-29,App Session - DAU,macOS,0
2022-12-30,App Session - DAU,Android,4
2022-12-30,App Session - DAU,iOS,4
2022-12-30,App Session - DAU,iPadOS,1
2022-12-30,App Session - DAU,macOS,0
2022-12-31,App Session - DAU,Android,2
2022-12-31,App Session - DAU,iOS,0
2022-12-31,App Session - DAU,iPadOS,0
2022-12-31,App Session - DAU,macOS,0
2023-01-01,App Session - DAU,Android,2
2023-01-01,App Session - DAU,iOS,1
2023-01-01,App Session - DAU,iPadOS,0
2023-01-01,App Session - DAU,macOS,0
2023-01-02,App Session - DAU,Android,2
2023-01-02,App Session - DAU,iOS,2
2023-01-02,App Session - DAU,iPadOS,0
2023-01-02,App Session - DAU,macOS,0
2023-01-03,App Session - DAU,Android,4
2023-01-03,App Session - DAU,iOS,0
2023-01-03,App Session - DAU,iPadOS,0
2023-01-03,App Session - DAU,macOS,0
2023-01-04,App Session - DAU,Android,3
2023-01-04,App Session - DAU,iOS,0
2023-01-04,App Session - DAU,iPadOS,0
2023-01-04,App Session - DAU,macOS,0
2023-01-05,App Session - DAU,Android,1
2023-01-05,App Session - DAU,iOS,1
2023-01-05,App Session - DAU,iPadOS,0
2023-01-05,App Session - DAU,macOS,0
2023-01-06,App Session - DAU,Android,1
2023-01-06,App Session - DAU,iOS,0
2023-01-06,App Session - DAU,iPadOS,1
2023-01-06,App Session - DAU,macOS,0
2023-01-07,App Session - DAU,Android,0
2023-01-07,App Session - DAU,iOS,1
2023-01-07,App Session - DAU,iPadOS,0
2023-01-07,App Session - DAU,macOS,0
2023-01-08,App Session - DAU,Android,2
2023-01-08,App Session - DAU,iOS,0
2023-01-08,App Session - DAU,iPadOS,0
2023-01-08,App Session - DAU,macOS,0
2023-01-09,App Session - DAU,Android,2
2023-01-09,App Session - DAU,iOS,1
2023-01-09,App Session - DAU,iPadOS,0
2023-01-09,App Session - DAU,macOS,0
2023-01-10,App Session - DAU,Android,4
2023-01-10,App Session - DAU,iOS,1
2023-01-10,App Session - DAU,iPadOS,0
2023-01-10,App Session - DAU,macOS,0
2023-01-11,App Session - DAU,Android,7
2023-01-11,App Session - DAU,iOS,0
2023-01-11,App Session - DAU,iPadOS,0
2023-01-11,App Session - DAU,macOS,0
2023-01-12,App Session - DAU,Android,1
2023-01-12,App Session - DAU,iOS,2
2023-01-12,App Session - DAU,iPadOS,0
2023-01-12,App Session - DAU,macOS,0
2023-01-13,App Session - DAU,Android,3
2023-01-13,App Session - DAU,iOS,0
2023-01-13,App Session - DAU,iPadOS,0
2023-01-13,App Session - DAU,macOS,0
2023-01-14,App Session - DAU,Android,1
2023-01-14,App Session - DAU,iOS,2
2023-01-14,App Session - DAU,iPadOS,0
2023-01-14,App Session - DAU,macOS,0
2023-01-15,App Session - DAU,Android,2
2023-01-15,App Session - DAU,iOS,2
2023-01-15,App Session - DAU,iPadOS,0
2023-01-15,App Session - DAU,macOS,0
2023-01-16,App Session - DAU,Android,6
2023-01-16,App Session - DAU,iOS,1
2023-01-16,App Session - DAU,iPadOS,0
2023-01-16,App Session - DAU,macOS,0
2023-01-17,App Session - DAU,Android,4
2023-01-17,App Session - DAU,iOS,1
2023-01-17,App Session - DAU,iPadOS,0
2023-01-17,App Session - DAU,macOS,0
2023-01-18,App Session - DAU,Android,4
2023-01-18,App Session - DAU,iOS,0
2023-01-18,App Session - DAU,iPadOS,0
2023-01-18,App Session - DAU,macOS,0
2023-01-19,App Session - DAU,Android,2
2023-01-19,App Session - DAU,iOS,1
2023-01-19,App Session - DAU,iPadOS,0
2023-01-19,App Session - DAU,macOS,0
2023-01-20,App Session - DAU,Android,6
2023-01-20,App Session - DAU,iOS,1
2023-01-20,App Session - DAU,iPadOS,0
2023-01-20,App Session - DAU,macOS,0
2023-01-21,App Session - DAU,Android,5
2023-01-21,App Session - DAU,iOS,1
2023-01-21,App Session - DAU,iPadOS,0
2023-01-21,App Session - DAU,macOS,0
2023-01-22,App Session - DAU,Android,2
2023-01-22,App Session - DAU,iOS,2
2023-01-22,App Session - DAU,iPadOS,0
2023-01-22,App Session - DAU,macOS,0
2023-01-23,App Session - DAU,Android,5
2023-01-23,App Session - DAU,iOS,2
2023-01-23,App Session - DAU,iPadOS,0
2023-01-23,App Session - DAU,macOS,0
2023-01-24,App Session - DAU,Android,4
2023-01-24,App Session - DAU,iOS,2
2023-01-24,App Session - DAU,iPadOS,0
2023-01-24,App Session - DAU,macOS,0
2023-01-25,App Session - DAU,Android,4
2023-01-25,App Session - DAU,iOS,3
2023-01-25,App Session - DAU,iPadOS,0
2023-01-25,App Session - DAU,macOS,0
2023-01-26,App Session - DAU,Android,4
2023-01-26,App Session - DAU,iOS,3
2023-01-26,App Session - DAU,iPadOS,0
2023-01-26,App Session - DAU,macOS,0
2023-01-27,App Session - DAU,Android,6
2023-01-27,App Session - DAU,iOS,2
2023-01-27,App Session - DAU,iPadOS,0
2023-01-27,App Session - DAU,macOS,0
2023-01-28,App Session - DAU,Android,4
2023-01-28,App Session - DAU,iOS,3
2023-01-28,App Session - DAU,iPadOS,0
2023-01-28,App Session - DAU,macOS,0
2023-01-29,App Session - DAU,Android,2
2023-01-29,App Session - DAU,iOS,1
2023-01-29,App Session - DAU,iPadOS,0
2023-01-29,App Session - DAU,macOS,0
2023-01-30,App Session - DAU,Android,4
2023-01-30,App Session - DAU,iOS,3
2023-01-30,App Session - DAU,iPadOS,0
2023-01-30,App Session - DAU,macOS,0
2023-01-31,App Session - DAU,Android,2
2023-01-31,App Session - DAU,iOS,3
2023-01-31,App Session - DAU,iPadOS,0
2023-01-31,App Session - DAU,macOS,0
2023-02-01,App Session - DAU,Android,2
2023-02-01,App Session - DAU,iOS,3
2023-02-01,App Session - DAU,iPadOS,0
2023-02-01,App Session - DAU,macOS,0
2023-02-02,App Session - DAU,Android,1
2023-02-02,App Session - DAU,iOS,2
2023-02-02,App Session - DAU,iPadOS,0
2023-02-02,App Session - DAU,macOS,0
2023-02-03,App Session - DAU,Android,4
2023-02-03,App Session - DAU,iOS,4
2023-02-03,App Session - DAU,iPadOS,0
2023-02-03,App Session - DAU,macOS,0
2023-02-04,App Session - DAU,Android,5
2023-02-04,App Session - DAU,iOS,4
2023-02-04,App Session - DAU,iPadOS,0
2023-02-04,App Session - DAU,macOS,0
2023-02-05,App Session - DAU,Android,3
2023-02-05,App Session - DAU,iOS,2
2023-02-05,App Session - DAU,iPadOS,0
2023-02-05,App Session - DAU,macOS,0
2023-02-06,App Session - DAU,Android,3
2023-02-06,App Session - DAU,iOS,1
2023-02-06,App Session - DAU,iPadOS,0
2023-02-06,App Session - DAU,macOS,0
2023-02-07,App Session - DAU,Android,2
2023-02-07,App Session - DAU,iOS,2
2023-02-07,App Session - DAU,iPadOS,0
2023-02-07,App Session - DAU,macOS,0
2023-02-08,App Session - DAU,Android,5
2023-02-08,App Session - DAU,iOS,1
2023-02-08,App Session - DAU,iPadOS,0
2023-02-08,App Session - DAU,macOS,0
2023-02-09,App Session - DAU,Android,1
2023-02-09,App Session - DAU,iOS,2
2023-02-09,App Session - DAU,iPadOS,0
2023-02-09,App Session - DAU,macOS,0
2023-02-10,App Session - DAU,Android,2
2023-02-10,App Session - DAU,iOS,3
2023-02-10,App Session - DAU,iPadOS,0
2023-02-10,App Session - DAU,macOS,0
2023-02-11,App Session - DAU,Android,3
2023-02-11,App Session - DAU,iOS,4
2023-02-11,App Session - DAU,iPadOS,0
2023-02-11,App Session - DAU,macOS,0
2023-02-12,App Session - DAU,Android,3
2023-02-12,App Session - DAU,iOS,1
2023-02-12,App Session - DAU,iPadOS,0
2023-02-12,App Session - DAU,macOS,0
2023-02-13,App Session - DAU,Android,3
2023-02-13,App Session - DAU,iOS,4
2023-02-13,App Session - DAU,iPadOS,0
2023-02-13,App Session - DAU,macOS,0
2023-02-14,App Session - DAU,Android,1
2023-02-14,App Session - DAU,iOS,1
2023-02-14,App Session - DAU,iPadOS,0
2023-02-14,App Session - DAU,macOS,0
2023-02-15,App Session - DAU,Android,4
2023-02-15,App Session - DAU,iOS,3
2023-02-15,App Session - DAU,iPadOS,0
2023-02-15,App Session - DAU,macOS,0
2023-02-16,App Session - DAU,Android,3
2023-02-16,App Session - DAU,iOS,4
2023-02-16,App Session - DAU,iPadOS,0
2023-02-16,App Session - DAU,macOS,0
2023-02-17,App Session - DAU,Android,3
2023-02-17,App Session - DAU,iOS,4
2023-02-17,App Session - DAU,iPadOS,0
2023-02-17,App Session - DAU,macOS,0
2023-02-18,App Session - DAU,Android,2
2023-02-18,App Session - DAU,iOS,0
2023-02-18,App Session - DAU,iPadOS,0
2023-02-18,App Session - DAU,macOS,0
2023-02-19,App Session - DAU,Android,2
2023-02-19,App Session - DAU,iOS,0
2023-02-19,App Session - DAU,iPadOS,0
2023-02-19,App Session - DAU,macOS,0
2023-02-20,App Session - DAU,Android,4
2023-02-20,App Session - DAU,iOS,2
2023-02-20,App Session - DAU,iPadOS,0
2023-02-20,App Session - DAU,macOS,0
2023-02-21,App Session - DAU,Android,2
2023-02-21,App Session - DAU,iOS,4
2023-02-21,App Session - DAU,iPadOS,0
2023-02-21,App Session - DAU,macOS,0
2023-02-22,App Session - DAU,Android,2
2023-02-22,App Session - DAU,iOS,0
2023-02-22,App Session - DAU,iPadOS,0
2023-02-22,App Session - DAU,macOS,0
2023-02-23,App Session - DAU,Android,3
2023-02-23,App Session - DAU,iOS,0
2023-02-23,App Session - DAU,iPadOS,0
2023-02-23,App Session - DAU,macOS,0
2023-02-24,App Session - DAU,Android,1
2023-02-24,App Session - DAU,iOS,0
2023-02-24,App Session - DAU,iPadOS,0
2023-02-24,App Session - DAU,macOS,0
2023-02-25,App Session - DAU,Android,1
2023-02-25,App Session - DAU,iOS,0
2023-02-25,App Session - DAU,iPadOS,0
2023-02-25,App Session - DAU,macOS,0
2023-02-26,App Session - DAU,Android,3
2023-02-26,App Session - DAU,iOS,0
2023-02-26,App Session - DAU,iPadOS,0
2023-02-26,App Session - DAU,macOS,0
2023-02-27,App Session - DAU,Android,2
2023-02-27,App Session - DAU,iOS,0
2023-02-27,App Session - DAU,iPadOS,0
2023-02-27,App Session - DAU,macOS,0
2023-02-28,App Session - DAU,Android,2
2023-02-28,App Session - DAU,iOS,0
2023-02-28,App Session - DAU,iPadOS,0
2023-02-28,App Session - DAU,macOS,0
2023-03-01,App Session - DAU,Android,4
2023-03-01,App Session - DAU,iOS,0
2023-03-01,App Session - DAU,iPadOS,0
2023-03-01,App Session - DAU,macOS,0
2023-03-02,App Session - DAU,Android,4
2023-03-02,App Session - DAU,iOS,0
2023-03-02,App Session - DAU,iPadOS,0
2023-03-02,App Session - DAU,macOS,0
2023-03-03,App Session - DAU,Android,2
2023-03-03,App Session - DAU,iOS,0
